"Date","Month","Year","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
2018-01-06,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,8
2018-01-06,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,23
2018-01-06,1,2018,"Millbrook School","Wake",35.856111,-78.574167,33,33
2018-01-06,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,17
2018-01-06,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,29
2018-01-07,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,54
2018-01-07,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,9
2018-01-07,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,49
2018-01-07,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,39
2018-01-07,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,47
2018-01-07,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,28
2018-01-07,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,15
2018-01-07,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,38
2018-01-07,1,2018,"Millbrook School","Wake",35.856111,-78.574167,34,48
2018-01-07,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,18
2018-01-07,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,27
2018-01-08,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,71
2018-01-08,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,11
2018-01-08,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,52
2018-01-08,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,34.5
2018-01-08,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,3
2018-01-08,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,16,53
